Receipt,Date,Description,Client,Staff,Quantity,Amount,GST,PST,mes_nome,mes_n,dia_nome,dia_n
384,2018-05-03,Men's hair cut,NIES02,JJ,1,40.0,2.0,3.2,May,5,Thursday,3
385,2018-05-03,Women's hair cut,BHAJ01,BECKY,1,60.0,3.0,4.8,May,5,Thursday,3
386,2018-05-03,Blowdry,NIDN01,SINEAD,1,50.0,2.5,4.0,May,5,Thursday,3
387,2018-05-03,Blowdry,SKUD01,BECKY,1,50.0,2.5,4.0,May,5,Thursday,3
388,2018-05-03,Blowdry,HOLL01,SINEAD,1,45.0,2.25,3.6,May,5,Thursday,3
389,2018-05-03,Women's hair cut,BRIK01,JJ,1,82.0,4.1,6.56,May,5,Thursday,3
39,2018-03-22,Women's hair cut,OKEM01,JJ,1,82.0,4.1,6.56,March,3,Thursday,3
390,2018-05-03,Women's hair cut,MESN01,BECKY,1,60.0,3.0,4.8,May,5,Thursday,3
391,2018-05-03,Color touch up,NEEL01,JJ,1,40.0,2.0,3.2,May,5,Thursday,3
391,2018-05-03,Women's hair cut,NEEL01,JJ,1,92.0,4.6,7.36,May,5,Thursday,3
392,2018-05-03,Men's hair cut,SPIJ01,BECKY,1,30.0,1.5,2.4,May,5,Thursday,3
393,2018-05-03,Men's hair cut,LYNG01,JJ,1,60.0,3.0,4.8,May,5,Thursday,3
394,2018-05-03,Men's hair cut,TSAR01,JJ,1,40.0,2.0,3.2,May,5,Thursday,3
395,2018-05-03,Men's hair cut,BREM01,SINEAD,1,55.0,2.75,4.4,May,5,Thursday,3
397,2018-05-03,Women's hair cut,MARR01,SINEAD,1,70.0,3.5,5.6,May,5,Thursday,3
398,2018-05-03,Men's hair cut,BRAN01,SINEAD,1,35.0,1.75,2.8,May,5,Thursday,3
399,2018-05-03,Women's hair cut,WOOD02,JJ,1,82.0,4.1,6.56,May,5,Thursday,3
40,2018-03-22,Men's hair cut,GALB01,JJ,1,40.0,2.0,3.2,March,3,Thursday,3
401,2018-05-04,Blowdry,BYRP01,BECKY,1,50.0,2.5,4.0,May,5,Friday,4
403,2018-05-04,Men's hair cut,COLE01,JJ,1,40.0,2.0,3.2,May,5,Friday,4
403,2018-05-04,Men's hair cut,COLR02,BECKY,1,30.0,1.5,2.4,May,5,Friday,4
403,2018-05-04,Blowdry,COLG01,BECKY,1,50.0,2.5,4.0,May,5,Friday,4
403,2018-05-04,Men's hair cut,COLB01,JJ,1,40.0,2.0,3.2,May,5,Friday,4
405,2018-05-04,Blowdry,SIRM01,BECKY,1,50.0,2.5,4.0,May,5,Friday,4
407,2018-05-04,Color mini touch up,MCGV01,JOANNE,1,50.0,2.5,4.0,May,5,Friday,4
408,2018-05-04,Blowdry,KOOM01,JJ,1,52.0,2.6,4.16,May,5,Friday,4
41,2018-03-23,Women's hair cut,WARG01,JJ,1,82.0,4.1,6.56,March,3,Friday,4
410,2018-05-04,Men's hair cut,PLUJ01,JJ,1,60.0,3.0,4.8,May,5,Friday,4
410,2018-05-04,Men's camo color,PLUJ01,JJ,1,25.0,1.25,2.0,May,5,Friday,4
411,2018-05-04,Blowdry,ALIR02,BECKY,1,30.0,1.5,2.4,May,5,Friday,4
412,2018-05-04,Blowdry,RICC01,BECKY,1,40.0,2.0,3.2,May,5,Friday,4
412,2018-05-04,Color full color,RICC01,JOANNE,1,80.0,4.0,6.4,May,5,Friday,4
413,2018-05-04,Women's hair cut,GHOP01,BECKY,1,70.0,3.5,5.6,May,5,Friday,4
413,2018-05-04,Accent lights and color,GHOP01,JOANNE,1,130.0,6.5,10.4,May,5,Friday,4
414,2018-05-04,Men's hair cut,ZIMJ01,BECKY,1,30.0,1.5,2.4,May,5,Friday,4
415,2018-05-04,Men's camo color,GUYD01,BECKY,1,35.0,1.75,2.8,May,5,Friday,4
415,2018-05-04,Men's hair cut,GUYD01,BECKY,1,40.0,2.0,3.2,May,5,Friday,4
